lambda,theta
0.45818455,0.97724305
0.30396141,0.83257239
0.31454248,0.46921747
0.37441862,0.64820664
0.39676977,0.76851552
0.39268998,0.81829216
0.26276667,0.57649401
0.315755,0.93716458
0.24706939,0.9477908
0.27718939,0.92719677
0.43452005,0.87175027
0.35136189,0.90260913
0.41178388,0.85791634
0.41430817,0.78614517
0.25968207,0.79665372
0.48267967,0.45187935
0.37149946,0.47314145
0.38553775,0.48080554
0.55406571,0.50844033
0.50018982,0.62723318
0.35422538,0.47737021
0.35813139,0.56190565
0.24314995,0.69261762
0.41782612,0.65190337
0.2775521,0.68025388
0.42198327,0.93409133
0.40472811,0.95534077
0.32371421,0.95945655
0.34213823,0.97147727
0.35205769,0.96431479
0.29443628,0.8193192
0.26085993,0.70727442
0.34924887,0.64450778
0.29985752,0.70438758
0.37246949,0.47350042
0.31173003,0.94773193
0.41573637,0.55983981
0.29047986,0.5946633
0.40717092,0.54361
0.29920022,0.72625972
0.21391959,0.63044511
0.37835535,0.65860625
0.29954321,0.50508721
0.44766587,0.8165878
0.38682185,0.53380126
0.31115408,0.70795482
0.29474171,0.79173393
0.4622756,0.68479499
0.26859489,0.75837886
0.43176359,0.69539243
0.40490293,0.72534522
0.38843912,0.50313602
0.26396977,0.71628151
0.34081393,0.67273985
0.31526164,0.74170203
0.27411822,0.68725351
0.25492191,0.5046645
0.25324838,0.57236225
0.3939152,0.61867058
0.29655337,0.56029717
0.35354683,0.49688549
0.40248699,0.74778389
0.4299041,0.61327328
0.27004576,0.63084505
0.35217222,0.4232785
0.31582338,0.64901919
0.2497335,0.63521361
0.29955536,0.58061388
0.26031716,0.65724423
0.24432647,0.83968396
0.46614608,0.57616377
0.30313085,0.76734986
0.39089843,0.58286637
0.34297523,0.62883526
0.35585128,0.53954828
0.33564581,0.53770867
0.23949817,0.82266203
0.32932436,0.62306631
0.31571364,0.6250158
0.58968693,0.42069299
0.31810313,0.6080079
0.30729217,0.4846482
0.36672575,0.69646171
0.31539226,0.89876417
0.32525216,0.63966575
0.45408719,0.53962054
0.28198474,0.7869369
0.32225338,0.74273563
0.42847762,0.54903998
0.34611915,0.73651179
0.24181608,0.62812481
0.39860951,0.49336171
0.48199635,0.5990391
0.31355774,0.8901481
0.2663159,0.56070802
0.3908449,0.70682047
0.29364505,0.65126711
0.31625784,0.70651394
0.32930584,0.3957212
0.31418572,0.50150213
0.3290141,0.62909491
0.3181995,0.71413896
0.33034367,0.66630989
0.37744868,0.49491823
0.27372464,0.75526632
0.30723015,0.58924375
0.42022023,0.52122434
0.45194447,0.58640578
0.49141821,0.52291879
0.29237017,0.76715714
0.33358112,0.69897726
0.36707081,0.69531962
0.40214742,0.70011821
0.32749851,0.70613526
0.27759258,0.57589337
0.41111354,0.66966757
0.28468251,0.67729244
0.33126113,0.65427407
0.40265731,0.51603744
0.42355777,0.54293767
0.3037929,0.62782579
0.42101118,0.56337411
0.30320856,0.59882061
0.33369815,0.76717407
0.32146036,0.60542748
0.32354331,0.92255347
0.28359559,0.89208798
0.31224467,0.66392134
0.36648456,0.59856711
0.56560563,0.3840847
0.22685396,0.87635424
0.33184614,0.75679978
0.3405254,0.59084424
0.43620523,0.63673589
